"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.271371436E1,4.300200245E1,-7.879069038E1,1.769143601E2,1.422024951E2,1.190100657E0,1.585274730E1,8.950485312E-2,4.730858985E0,3.382825786E0,-1.000000000E0
5.371372020E1,4.300201650E1,-7.879068546E1,1.768894339E2,1.421775447E2,1.391993489E0,1.681519783E1,9.072838790E-2,4.737804392E0,3.373091545E0,-1.000000000E0
5.471372581E1,4.300202684E1,-7.879068032E1,1.768566851E2,1.421447785E2,1.212448508E0,1.885175692E1,9.234474669E-2,4.733688568E0,3.378865131E0,-1.000000000E0
5.571373022E1,4.300204033E1,-7.879067290E1,1.767863355E2,1.420744065E2,1.363075417E0,2.255956549E1,9.372667467E-2,4.740613639E0,3.369142229E0,-1.000000000E0
5.671373630E1,4.300205085E1,-7.879066386E1,1.767460740E2,1.420341283E2,1.293172173E0,2.899133372E1,9.484243347E-2,4.747290678E0,3.359727407E0,-1.000000000E0
5.771374261E1,4.300205770E1,-7.879065384E1,1.768781175E2,1.421661620E2,1.193185032E0,3.659791580E1,9.619773608E-2,4.748979803E0,3.357339403E0,-1.000000000E0
5.871374953E1,4.300206192E1,-7.879063820E1,1.767928337E2,1.420808744E2,1.124623847E0,5.078309886E1,9.741225028E-2,4.748989614E0,3.357325525E0,-1.000000000E0
5.971375608E1,4.300205857E1,-7.879062398E1,1.771324741E2,1.424205245E2,9.514201771E-1,7.628553773E1,9.920406993E-2,4.739863959E0,3.370196831E0,-1.000000000E0
6.071376252E1,4.300204522E1,-7.879061163E1,1.766082065E2,1.418962841E2,1.003853543E0,1.059066054E2,1.009570789E-1,4.730640119E0,3.383131848E0,-1.000000000E0
6.171376884E1,4.300203087E1,-7.879060270E1,1.766814676E2,1.419695733E2,1.127906218E0,1.293190225E2,1.026807548E-1,4.730518843E0,3.383301422E0,-1.000000000E0
6.271377540E1,4.300201584E1,-7.879059756E1,1.765701559E2,1.418582900E2,1.324048504E0,1.437293934E2,1.042597741E-1,4.729523312E0,3.384692937E0,-1.000000000E0
6.371378243E1,4.300200227E1,-7.879059183E1,1.762972665E2,1.415854265E2,1.350316748E0,1.520096571E2,1.059058305E-1,4.728438015E0,3.386208938E0,-1.000000000E0
6.471378911E1,4.300198837E1,-7.879058485E1,1.761956887E2,1.414838755E2,1.373758385E0,1.569547727E2,1.070997132E-1,4.727663773E0,3.387289813E0,-1.000000000E0
6.571379602E1,4.300197829E1,-7.879057980E1,1.764022298E2,1.416904361E2,1.258849252E0,1.592324122E2,1.087502937E-1,4.726381338E0,3.389079002E0,-1.000000000E0
6.671380317E1,4.300196458E1,-7.879057202E1,1.758858472E2,1.411740802E2,1.381506077E0,1.597231230E2,1.100184774E-1,4.725029548E0,3.390963403E0,-1.000000000E0
6.771380961E1,4.300195337E1,-7.879056914E1,1.755412921E2,1.408295460E2,1.252937015E0,1.648998841E2,1.114702564E-1,4.723736922E0,3.392763848E0,-1.000000000E0
6.871381748E1,4.300194219E1,-7.879055993E1,1.763228634E2,1.416111397E2,1.216071757E0,1.580954457E2,1.129800721E-1,4.724077515E0,3.392289590E0,-1.000000000E0
6.971382511E1,4.300192985E1,-7.879055217E1,1.764012375E2,1.416895381E2,1.255094975E0,1.578340526E2,1.142036373E-1,4.720978430E0,3.396601197E0,-1.000000000E0
7.071383190E1,4.300191914E1,-7.879054869E1,1.763229580E2,1.416112787E2,1.239843326E0,1.633015760E2,1.156194048E-1,4.719162989E0,3.399123081E0,-1.000000000E0
7.171383977E1,4.300190667E1,-7.879054518E1,1.761712779E2,1.414596220E2,1.258181392E0,1.656968850E2,1.170722766E-1,4.717842731E0,3.400955307E0,-1.000000000E0
7.271384656E1,4.300189534E1,-7.879053630E1,1.759506573E2,1.412390241E2,1.268574433E0,1.615911551E2,1.188722204E-1,4.718587710E0,3.399921626E0,-1.000000000E0
7.371385455E1,4.300188419E1,-7.879052025E1,1.761814793E2,1.414698702E2,1.360487844E0,1.495954467E2,1.199393602E-1,4.719267682E0,3.398977725E0,-1.000000000E0
7.471386158E1,4.300188057E1,-7.879050810E1,1.762367893E2,1.415251898E2,1.032138293E0,1.389539975E2,1.218273020E-1,4.718666757E0,3.399811916E0,-1.000000000E0
7.571386981E1,4.300188418E1,-7.879048542E1,1.767572314E2,1.420456311E2,9.496451143E-1,1.029442016E2,1.234314347E-1,4.720024244E0,3.397927040E0,-1.000000000E0
7.671387732E1,4.300189486E1,-7.879047216E1,1.768151598E2,1.421035435E2,9.734981922E-1,6.896561597E1,1.250040908E-1,4.721711675E0,3.395581820E0,-1.000000000E0
7.771388507E1,4.300190730E1,-7.879046295E1,1.766271346E2,1.419154982E2,1.119524880E0,5.211268181E1,1.268308119E-1,4.725140066E0,3.390809400E0,-1.000000000E0
7.871389198E1,4.300192228E1,-7.879045374E1,1.767798512E2,1.420681902E2,1.338550892E0,4.260074192E1,1.283948953E-1,4.730242915E0,3.383687189E0,-1.000000000E0
7.971390033E1,4.300193412E1,-7.879044336E1,1.768804263E2,1.421687464E2,1.369831058E0,3.973211495E1,1.300072073E-1,4.736027277E0,3.375586269E0,-1.000000000E0
8.071390772E1,4.300194713E1,-7.879043459E1,1.770739890E2,1.423622879E2,1.422439404E0,3.594250137E1,1.315619147E-1,4.739352673E0,3.370915792E0,-1.000000000E0
8.171391499E1,4.300196030E1,-7.879042818E1,1.771622967E2,1.424505735E2,1.393510513E0,3.078930585E1,1.330405318E-1,4.744400870E0,3.363806982E0,-1.000000000E0
8.271392298E1,4.300197307E1,-7.879042312E1,1.773135923E2,1.426018473E2,1.292224002E0,2.516228812E1,1.343628748E-1,4.747438313E0,3.359518790E0,-1.000000000E0
8.371393144E1,4.300198488E1,-7.879042125E1,1.774554727E2,1.427437069E2,1.206435052E0,1.895148638E1,1.359355543E-1,4.748058235E0,3.358642587E0,-1.000000000E0
8.471393979E1,4.300199835E1,-7.879041534E1,1.775012395E2,1.427894509E2,1.311342850E0,1.814552083E1,1.370501252E-1,4.748820495E0,3.357564733E0,-1.000000000E0
8.571394658E1,4.300200817E1,-7.879041256E1,1.773265613E2,1.426147557E2,1.215147259E0,1.576249238E1,1.387426355E-1,4.750275225E0,3.355506269E0,-1.000000000E0
8.671395433E1,4.300202286E1,-7.879040710E1,1.773815440E2,1.426697133E2,1.313223800E0,1.662258199E1,1.404708426E-1,4.750892606E0,3.354632093E0,-1.000000000E0
8.771396327E1,4.300203790E1,-7.879040179E1,1.778687955E2,1.431569390E2,1.440420869E0,1.735150545E1,1.413427817E-1,4.749860880E0,3.356092765E0,-1.000000000E0
8.871397054E1,4.300204456E1,-7.879039612E1,1.776118254E2,1.428999583E2,1.204940214E0,2.292369647E1,1.427981957E-1,4.741203479E0,3.368312130E0,-1.000000000E0
8.971397841E1,4.300205477E1,-7.879038492E1,1.776198008E2,1.429079181E2,1.200546952E0,3.514974036E1,1.440157676E-1,4.747098542E0,3.359998878E0,-1.000000000E0
9.071398652E1,4.300206026E1,-7.879037196E1,1.774678835E2,1.427559941E2,1.152292443E0,4.688143386E1,1.452360628E-1,4.745004433E0,3.362955540E0,-1.000000000E0
9.171399438E1,4.300206200E1,-7.879035715E1,1.775667963E2,1.428549076E2,1.064461955E0,6.713883488E1,1.468461751E-1,4.741024695E0,3.368563770E0,-1.000000000E0
9.271400297E1,4.300205352E1,-7.879034110E1,1.773179528E2,1.426060833E2,1.117763935E0,9.359931970E1,1.481756248E-1,4.735174926E0,3.376781819E0,-1.000000000E0
9.371401060E1,4.300204373E1,-7.879033173E1,1.771729321E2,1.424610827E2,1.099620953E0,1.082350810E2,1.497699298E-1,4.728228276E0,3.386501794E0,-1.000000000E0
9.471401846E1,4.300203061E1,-7.879032382E1,1.776408252E2,1.429290014E2,1.193338663E0,1.304578917E2,1.514979984E-1,4.728752871E0,3.385769236E0,-1.000000000E0
9.571402657E1,4.300201675E1,-7.879031420E1,1.776110562E2,1.428992599E2,1.387629050E0,1.394764193E2,1.526291449E-1,4.729207680E0,3.385133934E0,-1.000000000E0
9.671403468E1,4.300200674E1,-7.879031664E1,1.771201670E2,1.424083881E2,1.077008967E0,1.590864378E2,1.541132592E-1,4.729136545E0,3.385233311E0,-1.000000000E0
9.771404326E1,4.300199369E1,-7.879031275E1,1.774627612E2,1.427510068E2,1.186526917E0,1.639977486E2,2.328715799E-1,4.727886411E0,3.386979055E0,-1.000000000E0
9.843565965E1,4.300161086E1,-7.879112758E1,1.796481361E2,1.449368673E2,NaN,NaN,2.651689908E-1,3.500000000E1,1.737533379E1,-1.000000000E0
9.844228769E1,4.300175246E1,-7.879078082E1,1.800006599E2,1.452892229E2,NaN,NaN,2.696232475E-1,4.000000000E1,1.943600082E1,-1.000000000E0
9.844228769E1,4.300177803E1,-7.879073866E1,1.801447334E2,1.454332609E2,NaN,NaN,2.734456975E-1,4.000000000E1,1.631187439E1,-1.000000000E0
9.899946964E1,4.300179797E1,-7.879070037E1,1.802309151E2,1.455194162E2,NaN,NaN,2.749632412E-1,4.000000000E1,1.503248405E1,-1.000000000E0
9.919953871E1,4.300178952E1,-7.879068572E1,1.802848434E2,1.455733635E2,NaN,NaN,3.026183379E-1,4.000000000E1,1.373726559E1,-1.000000000E0
9.957078243E1,4.300197448E1,-7.879091308E1,1.930145264E2,1.583026558E2,1.779999971E0,1.399218750E2,3.092881363E-1,2.279105137E1,1.600000000E1,-1.000000000E0
1.005707916E2,4.300198139E1,-7.879083160E1,2.155952148E2,1.808833522E2,1.769999981E0,1.522265625E2,3.139692305E-1,1.296135660E1,1.200000000E1,-1.000000000E0
1.015707995E2,4.300198516E1,-7.879077427E1,2.236099854E2,1.888981303E2,1.240000010E0,1.395703125E2,3.150909826E-1,1.192918898E1,1.200000000E1,-1.000000000E0
1.025708079E2,4.300197783E1,-7.879076480E1,2.145427246E2,1.798308852E2,1.240000010E0,1.504687500E2,3.173372670E-1,8.914515457E0,1.200000000E1,-1.000000000E0
1.035708168E2,4.300196651E1,-7.879078768E1,1.999605713E2,1.652487465E2,1.480000019E0,1.511718750E2,3.199566731E-1,6.934832930E0,8.000000000E0,-1.000000000E0
